river,date,Q (cms),Q/Q5%,C*** (mg/L),Qs (kg/s),b (m),T (C),sigg,tau*,u* (cm/s),D50 (mm),D90 (mm),vs50/u*,h (m),So,Cm*,C (ppm),Rib,Kred,C5t,Um,Cave**,qs,D50s,625-125,125-25,25-50,scaled effect
midloupe,7/18/1950,10.6738884316587,0.713495216019966,,,44.8034135934166,20,1.75680940247941,0.872978890859437,,0.319290420989022,0.726211428057163,0.627667021035384,0.379426381951744,0.001212121212121,0.000244987128089,649.21588943497,0.126860531225528,0.924522093626841,0.004705111,,,0.854511349513682,0.964846930748498,,,,
midloupe,2/20/1951,10.588950327428,0.707817535255881,,,44.193843340445,7.22222222222222,1.95825233321768,0.858434948720083,,0.328925630083409,0.861972821246978,0.532060978960087,0.296377260927598,0.00157196969697,0.000400143014852,1060.37898935776,0.135435488748033,0.914151859482312,0.004031078,,,0.912576914222617,0.979644149228627,,,,
midloupe,7/6/1950,10.4473868203768,0.698354733982407,,,43.2794879609875,21.6666666666667,2.08538121532476,0.641988245838837,,0.420448207626857,2.51984209978975,0.923611648270552,0.356298105610193,0.00125,0.000212388053987,562.828343065068,0.156931264492592,0.936988205894052,0.003669389,,,0.889169880868172,0.973144748066366,,,,
midloupe,7/26/1951,10.3907614175563,0.694569613473017,,,44.8034135934166,31.1111111111111,2.0983625850083,0.771015233072814,,0.377813113159444,2,0.86650385056139,0.373206277329585,0.001287878787879,0.000154555045249,409.570869908885,0.103986914833974,0.953728239314691,0.004442627,,,0.851509877933163,0.964992970808922,,,,
midloupe,9/24/1952,10.3624487161461,0.692677053218322,,,45.1081987199025,18.3333333333333,1.68573530440236,0.874644940446325,,0.300232267326153,0.545253866332629,0.581784022117382,0.331556793001474,0.001306818181818,0.000432173003604,1145.25845955035,0.192399640428489,0.901684366200401,0.016324972,,,0.617504149167935,0.8657235632378,,,,
midloupe,5/6/1952,10.3624487161461,0.692677053218322,,,43.2794879609875,18.3333333333333,1.97456700206596,0.838637362434459,,0.345478219991944,1.31950791077289,0.666164315432447,0.360590853870556,0.001325757575758,0.000256962974325,680.951881961587,0.129118299614443,0.927167699953982,0.003305622,,,0.910461013812566,0.979700570542175,,,,
midloupe,6/6/1950,10.3058233133256,0.688891932708932,,,43.8890582139592,24.4444444444444,2.05311233153351,0.912274307341484,,0.311689577321223,1,0.639866610026673,0.321717633512818,0.001458333333333,0.000207922360394,550.994255044741,0.091229194898885,0.948334794376166,0.004198781,,,0.883310641455945,0.972939724279449,,,,
midloupe,3/30/1951,10.2208852090949,0.683214251944848,,,44.193843340445,10,1.97819102203112,0.714274803261318,,0.3789291416276,1.31950791077289,0.688932541060173,0.332110689550074,0.001344696969697,0.000302704845471,802.167840499361,0.155085660993847,0.919113327016878,0.002339273,,,0.939149926955791,0.990060967132807,,,,
midloupe,8/16/1951,9.7961946879414,0.654825848124425,,,43.2794879609875,25.5555555555556,2.32154360634695,0.695567359882879,,0.412430297167651,2.82842712474619,0.915134130832136,0.352005357349829,0.001344696969697,8.35917907853682E-05,221.518245581226,0.056888431021235,0.971639398441443,0.001508074,,,0.94493152840495,0.996125438977432,,,,
midloupe,9/11/1952,9.45644227101857,0.632115125068086,,,45.4129838463883,20,2.07888948335349,0.702459777481056,,0.345478219991944,1.34590019263236,0.744948638202145,0.310921739770777,0.001287878787879,0.000180158294977,477.419481688515,0.104209089991175,0.948702804355749,0.003417089,,,0.895295814762746,0.974103449913206,,,,
midloupe,7/18/1952,9.34319146537763,0.624544884049307,,,44.8034135934166,30.5555555555556,1.91419541401089,1.01818208103322,,0.282241101201533,0.77720314088546,0.600859074484029,0.33381228138924,0.001420454545455,0.000182598344771,483.885613644087,0.077239974198908,0.951078305799722,0.005063469,,,0.850273276546995,0.963050429007608,,,,
midloupe,6/18/1952,9.3148787639674,0.622652323794612,,,45.7177689728741,22.2222222222222,1.92561357441014,0.815052666765495,,0.304753413551119,0.852180396428575,0.645818236682252,0.304785126485827,0.001344696969697,0.000231642228485,613.851905485444,0.111250920402602,0.94099497204231,0.006291532,,,0.816640583020064,0.948297976425655,,,,
mississippi,5/13/1964,28822.3300356195,0.991582133686071,58,1671.69514206593,1109.41786040841,21.1111111111111,1.6528200138079,1.27220393051368,7.83888345836439,0.298399939651802,0.48785996668916,0.499050664648642,16.3974398049375,3.82E-05,2.44622695559541E-05,64.8250143232784,0.319578845044846,0.815444931401757,0.000191812,,,0.844904523445571,0.951396026015868,,,,
mississippi,4/1/1964,26557.3139228007,0.913658193907205,76,2018.35585813285,1097.22645534898,10.5555555555556,1.47755425032769,1.03049477581101,7.32361763000299,0.321553008252215,0.47361533835518,0.505214797785461,15.6659555013715,3.49E-05,3.01878472811111E-05,79.9977952949444,0.437001351280943,0.803183345205148,9.45427E-05,,,0.920086518763017,0.977490373100236,,,,
