"mmdd","dd","Qw","Qw_max","Qw_min","Qw_std","Qs","Qs_max","Qs_min","Qs_std","Qs_m","Qs_m_max","Qs_m_min","Qs_m_std","Qw_m.avg","Qs_m_m.avg"
"101",411,100,720.687804878,1780,0,545.9449286307,7.7750646341,31.15,0,8.5496089844,2.93398665437736,11.7547169811321,0,3.22626754128302,770.070348432043,3.63319577935849
"102",412,101,714.8097560976,1700,0,548.7969591775,7.5777317073,42.7,0,9.1437218923,2.85952139898113,16.1132075471698,0,3.45046109143396,732.1400696864,3.18082491616712
"103",413,102,698.0658536585,2180,0,541.8360202173,7.8220729268,79.4,0,13.2014706809,2.95172563275472,29.9622641509434,0,4.98168704939623,704.604355400686,2.83289494443666
"104",414,103,666.7463414634,1610,0,491.2669264756,6.3405541463,42.8,0,8.327983792,2.392661942,16.1509433962264,0,3.14263539320755,684.592682926814,2.62190672538544
"105",415,104,645.5512195122,1540,0,488.42717273,5.8865926829,27,0,7.1736463862,2.22135572939623,10.188679245283,0,2.70703637215094,672.3068989547,2.54664391557951
"106",416,105,681.6987804878,1960,0,531.5481032428,6.6494912195,41,0,8.9087680213,2.50924196962264,15.4716981132075,0,3.36179925332076,660.566480836228,2.44654067450674
"107",417,106,664.5890243902,2285,0,529.2798602243,6.584862439,64.6,0,11.4086628621,2.48485375056604,24.377358490566,0,4.30515579701887,647.707247386757,2.28974828873315
"108",418,107,634.6873170732,1850,0,490.0122373932,6.3789395122,38.3,0,8.0777549875,2.40714698573585,14.4528301886792,0,3.04820942924528,639.693658536586,2.2119019932938
"109",419,108,632.6268292683,1820,0,469.2252806619,5.7208165854,26.5,0,6.5982938451,2.1587987114717,10,0,2.48992220569811,635.5887804878,2.14456046414016
"110",420,109,608.0512195122,1820,0,465.5231111996,4.9135741707,17.7,0,5.4246641897,1.85417893233962,6.67924528301887,0,2.04704309045283,626.9325087108,2.06543080797305
"111",421,110,610.6512195122,1820,0,467.2256987377,4.8965053659,25.8,0,6.039455983,1.84773787392453,9.73584905660377,0,2.27903999358491,620.818292682928,1.97067367169272
"112",422,111,616.8170731707,1950,0,473.5935349287,4.6374073171,21,0,5.5006101343,1.74996502532075,7.92452830188679,0,2.0757019374717,621.762613240414,1.90308455854987
"113",423,112,621.1048780488,2100,0,477.3817558837,5.1816360976,21.1,0,5.7145009513,1.95533437645283,7.9622641509434,0,2.15641545332075,621.511062717771,1.84709339425876
"114",424,113,621.7895121951,2030,0,483.0757398791,4.827117561,24.5,0,5.7341306738,1.82155379660377,9.24528301886792,0,2.16382289577359,629.783641114986,1.90155563737466
"115",425,114,641.2975609756,1890,0,494.0266569163,5.1251614634,19.2,0,5.676570738,1.93402319373585,7.24528301886792,0,2.14210216528302,643.4237108014,1.97940105187601
